pair_total_errors,record_id,source_row,Document,actual_class,predicted_class,confidence,is_correct
192,ecab80b716f9de6f65c559119957903739a23f0fd6bd5a8a531400b21e54c92d,44202,cannot submit via mobile oracle hi laptop working tried logging via browser chrome experience very unsatisfactory we have app for other hand works very well compliments,HR Support,Hardware,0.9574638860326448,False
192,4bc5a13f04cbdb8c67a5398eee6fcf1ba38b2e0f9cf54c5787415b52b526a4e7,35225,performance issues amp re can you please stop automatic during work hours hi can you please offer solution for issue raised by below after she sent she noticed she running same cpu constantly running we need addressed immediately given we have launch pilot production tomorrow you can imagine workload current circumstances developers able work we appreciate your help thanks manager sent tuesday december can you please stop automatic during work hours hello laptop freezes because virus during work hours affecting work could you please update scheduler run outside hours thanks senior software engineer,HR Support,Hardware,0.9520625339221244,False
192,ff18f44dec068adf0e793b480704e7f615c5ffb5e46e43413e058d6db6e536c4,24756,bucharest vc unit friday december pm re vc unit hi haven missed thread won needing assistance networking helped he well help vc unit please log best regards engineer friday december pm re vc unit hi colleagues loop moment vc unit placed fuji room floor kind regards officer december re vc unit heads had coordinate networking reach working add vc order vc communication issue solving road map attached person person probably easier test order these implementations then cambridge etc please let further making help tests regards friday december pm re vc unit great va please ref si cum vc fie pus intr la se vc conferences thanks friday december pm re vc unit hi please informed received vc unit today kind regards officer november re vc unit hi blvd floor thanks galaxy date re vc unit hello sorry push please name asap hoping out tonight thanks november re vc unit hi good christmas present details shipment video unit thanks ext mob zone wednesday november pm vc unit hi vc unit ready shipped let shipment please regards,HR Support,Hardware,0.938922838398082,False
192,6629313083989090a124d01aeeda73a616f06b4e5b78b095693e6ca98daceb1b,44608,virtual machine setup sent friday virtual machine hello tried install laptop using but get error vt disabled there with error attached can you please help changing bios settings thank you,HR Support,Hardware,0.91968466556777,False
192,242893618963d55d5d6a93f10f68496b7ec80f1fd5987d72a44f00bc9361cedd,31556,verify solution tuesday pm client importance high hello starting morning client please verify ca ca solution thank,HR Support,Hardware,0.8662669712293485,False
192,b3dc36c9fce293b048f37e1532ec85a91222216be48fa59c3e59a651ed3507b2,35127,re reminder we feedback annual it survey re reminder we feedback annual survey hi when try complete survey receive error second could you check please best regards sent thursday december reminder we feedback annual survey importance high annual survey we feedback dear colleagues thank you for feedback provided far we have collected complete responses with your help we believe any feedback useful can help build friendlier more efficient work environment when answering please consider interactions you had with processes survey link needed most deadline st december make count donate for each complete response delicious surprise awaits you you have fill survey provide your address you can be one lucky winners selected randomly answers received be aggregated allow statistical analysis case you have any questions regarding survey please contact customer care annual survey ext,HR Support,Hardware,0.8633811172511724,False
192,ade64c930047bd4049f5d59a0bbe97da15613faec24e4be491c9c24b2da02d87,25085,leave december leave si la la medic si la ca ca si senior engineer,HR Support,Hardware,0.857619805335616,False
192,55cf9fc18f6a7c3b2bc7961aaef3828d73d3ce8ffed226e83fb37fdf9b288185,41008,printing issue sent thursday printing issue hi have trouble printing documents print screen word document status listed printers server when pressing print button following error message shown devices printers window printers appear grayed out please advise software engineer,HR Support,Hardware,0.8339614987200503,False
192,316ed140e8e992110d8e022642b118a446c163d0a4618f13a5de0c786b0917c3,23567,leaver inventory update monitor retrieval wednesday maternity leave hello frequent person leaves maternity leave raised hardware retrieve hardware remains gets lost while moved by other latest discovered today starter told monitor his number device assigned informed after maternity leave type incidents create several problems devices monitors lost misplaced after person returns additional hardware despite assigned name while person maternity monitor since possession cannot reassigned other users closet monitor belongs cannot provide location presence which create other issues please log monitor retrieval kind regards engineer ext,HR Support,Hardware,0.8319166853564646,False
192,08a8b7a1a351367d676e853a6b050cb24e28dce201705fcd56a7cae42a3c7792,45019,over days not showing correctly says should have over days instead sa ne normal inca over normal inca ca si sa fie si la la se face,HR Support,Hardware,0.8299005798678941,False
